id,method,text,banned_chars,output,constraint_violated,constraint_found,constraint_count,vrr,ttr,bigram_rep,trigram_rep,time_sec,constraint_type,genre,source_id
0,sequential,彼がこういうことを言ったのだと思われる。,い,彼がこう述べることを述べたのだと思われる。,False,,0,0.142857,1.0,0.0,0.0,2.64614,easy,tatoeba,tatoeba:121021
0,oneshot,彼がこういうことを言ったのだと思われる。,い,彼がこのようなことを述べたと考えられる,False,,0,0.571429,1.0,0.0,0.0,0.91413,easy,tatoeba,tatoeba:121021
1,sequential,彼がこういうことを言ったのだと思われる。,"あ,い,う,え,お",彼がたしかに述べことを述べたのだと信じれる。,False,,0,0.285714,0.933333,0.0,0.0,5.359451,medium,tatoeba,tatoeba:121021
1,oneshot,彼がこういうことを言ったのだと思われる。,"あ,い,う,え,お",彼がこうした内容を述べたと推測される,True,"い,う",4,0.5,0.923077,0.0,0.0,1.131641,medium,tatoeba,tatoeba:121021
2,sequential,彼がこういうことを言ったのだと思われる。,"か,き,く,け,こ",あの人が例えば、そういう内容を言ったのだと思われる。,False,,0,0.214286,1.0,0.0,0.0,3.409151,medium,tatoeba,tatoeba:121021
2,oneshot,彼がこういうことを言ったのだと思われる。,"か,き,く,け,こ",彼がそのような内容を述べたと推測される,True,"か,く",2,0.571429,1.0,0.0,0.0,0.604966,medium,tatoeba,tatoeba:121021
3,sequential,木綿のミットをつければ赤ちゃんは自分の顔をひっかかなくなる。,"か,き,く,け,こ",木綿のミットをはればば幼児は自分の表情を触れやめるなる。,False,,0,0.375,0.875,0.0,0.0,4.390817,medium,tatoeba,tatoeba:80063
3,oneshot,木綿のミットをつければ赤ちゃんは自分の顔をひっかかなくなる。,"か,き,く,け,こ",木綿の手袋をつければ幼児は自分の顔をひっかかなくなる。,True,"か,く,け",6,0.125,0.875,0.0,0.0,0.667923,medium,tatoeba,tatoeba:80063
4,sequential,ビートルズの髪型はセンセーションを引き起こした。,"か,き,く,け,こ",ビートルズのヘアスタイルはセンセーションをもたらした。,False,,0,0.222222,1.0,0.0,0.0,0.890887,medium,tatoeba,tatoeba:197677
4,oneshot,ビートルズの髪型はセンセーションを引き起こした。,"か,き,く,け,こ",英国のロックバンドの髪型は一時的な流行を生んだ,True,"か,き,く,こ",6,0.555556,0.928571,0.0,0.0,0.648611,medium,tatoeba,tatoeba:197677
5,sequential,家にいるときはいろいろとやることが多くTVを見る暇もない。,い,住まにおるときはさまざまとやることが多くTVを見る暇もつまらぬ。,False,,0,0.222222,1.0,0.0,0.0,3.090755,easy,tatoeba,tatoeba:187123
5,oneshot,家にいるときはいろいろとやることが多くTVを見る暇もない。,い,家にいるときはさまざまな用事があり、テレビを見る時間もとれない,True,い,3,0.555556,1.0,0.0,0.0,0.799215,easy,tatoeba,tatoeba:187123
6,sequential,家にいるときはいろいろとやることが多くTVを見る暇もない。,"あ,い,う,え,お",邸に居所ときはさまざまとやることがたくさんTVを見る暇も尽き。,False,,0,0.277778,1.0,0.0,0.0,7.274835,medium,tatoeba,tatoeba:187123
6,oneshot,家にいるときはいろいろとやることが多くTVを見る暇もない。,"あ,い,う,え,お",自宅にいる際は多種多様な作業が多く、映像視聴の時間も確保できぬ。,True,"い,う,え,お",10,0.611111,1.0,0.0,0.0,0.646542,medium,tatoeba,tatoeba:187123
7,sequential,家にいるときはいろいろとやることが多くTVを見る暇もない。,"か,き,く,け,こ",家にいる時はいろいろとやる用事が多数TVを見る暇もない。,True,き,1,0.166667,1.0,0.0,0.0,1.685043,medium,tatoeba,tatoeba:187123
7,oneshot,家にいるときはいろいろとやることが多くTVを見る暇もない。,"か,き,く,け,こ",居所にいる間は様々な用事が多く、映像を見る時間もない。,True,"か,き,く",3,0.555556,1.0,0.0,0.0,0.609481,medium,tatoeba,tatoeba:187123
8,sequential,君は約束を守るべきだと彼女は続けていった。,い,君は約束を守るべきだと彼女は続けてやめるた。,False,,0,0.066667,0.933333,0.0,0.0,0.503415,easy,tatoeba,tatoeba:176839
8,oneshot,君は約束を守るべきだと彼女は続けていった。,い,君は約束を守るべきだと彼女は語り続けた,False,,0,0.2,0.923077,0.0,0.0,0.832224,easy,tatoeba,tatoeba:176839
9,sequential,君は約束を守るべきだと彼女は続けていった。,"あ,い,う,え,お",君は約束を守るべきだと彼女は続けて続けてた。,False,,0,0.066667,0.8125,0.066667,0.0,0.486257,medium,tatoeba,tatoeba:176839
9,oneshot,君は約束を守るべきだと彼女は続けていった。,"あ,い,う,え,お",君は約束を守る義務があると彼女は話し続けた,True,あ,1,0.333333,0.928571,0.0,0.0,0.503026,medium,tatoeba,tatoeba:176839
10,sequential,君は約束を守るべきだと彼女は続けていった。,"か,き,く,け,こ",あなたはいとづちを守る必要だだとあの人はつづりていった。,False,,0,0.4,0.888889,0.0,0.0,4.351107,medium,tatoeba,tatoeba:176839
10,oneshot,君は約束を守るべきだと彼女は続けていった。,"か,き,く,け,こ",君は約束を守るべきだと彼女は続けていった。,True,"か,き,く,け",6,0.0,0.933333,0.0,0.0,0.959921,medium,tatoeba,tatoeba:176839
11,sequential,政治における宣伝活動の重要性を認識する。,"あ,い,う,え,お",国家に示する宣伝働きの不可欠点を認識する。,False,,0,0.384615,1.0,0.0,0.0,7.612386,medium,tatoeba,tatoeba:143207
11,oneshot,政治における宣伝活動の重要性を認識する。,"あ,い,う,え,お",政界における広報活動の大切さを理解する,True,"い,う,お",8,0.461538,1.0,0.0,0.0,0.469633,medium,tatoeba,tatoeba:143207
12,sequential,政治における宣伝活動の重要性を認識する。,"か,き,く,け,こ",政治に備える宣伝運動の重要性を認知する。,False,,0,0.307692,1.0,0.0,0.0,2.858948,medium,tatoeba,tatoeba:143207
