id,method,text,banned_chars,output,constraint_violated,constraint_found,constraint_count,vrr,ttr,bigram_rep,trigram_rep,time_sec,constraint_type,genre
0,sequential,猿も木から落ちる。,"い,さ",猿猴も木から落ちる。,False,,0,0.166667,1.0,0.0,0.0,2.425451,easy,proverb
0,oneshot,猿も木から落ちる。,"い,さ",猿も樹から落ちる。,True,さ,1,0.166667,1.0,0.0,0.0,0.492337,easy,proverb
1,sequential,石の上にも三年。,"い,さ",岩盤の上にも長年年。,False,,0,0.25,1.0,0.0,0.0,4.59001,easy,proverb
1,oneshot,石の上にも三年。,"い,さ",堅実に続ければ長く続くものだ。,False,,0,0.75,1.0,0.0,0.0,0.714718,easy,proverb
2,sequential,雨降って地固まる。,"あ行: あ,い,う,え,お",雨降って地固まる。,False,,0,0.0,1.0,0.0,0.0,0.005227,medium,proverb
2,oneshot,雨降って地固まる。,"あ行: あ,い,う,え,お",土壌がしっかりと定まる。,True,う,1,0.833333,1.0,0.0,0.0,0.556246,medium,proverb
3,sequential,国境の長いトンネルを抜けると雪国であった。,"あ,い,う,え,お",国土の長閑トンネルを抜けると雪国で進むた。,False,,0,0.25,1.0,0.0,0.0,3.115645,medium,narrative
3,oneshot,国境の長いトンネルを抜けると雪国であった。,"あ,い,う,え,お",国の境界線沿いの長大な道を越えると雪の地が広がっていた,True,"い,う,え",7,0.666667,0.9,0.0,0.0,0.484864,medium,narrative
4,sequential,今日は良い天気だ。公園に散歩に出かけた。,い,今日は爽やか天気だ。公園に散歩に出かけた。,False,,0,0.076923,0.846154,0.0,0.0,1.595778,easy,narrative
4,oneshot,今日は良い天気だ。公園に散歩に出かけた。,い,本日良好な空模様のため、広場へ散策に出かけた。,False,,0,0.692308,1.0,0.0,0.0,0.844114,easy,narrative
5,sequential,新しい言語を学ぶには、多くの文章を読むことが大切だ。,"あ,い,う,え,お",新規言語を学ぶには、たくさんの記録を読むことが価値だ。,False,,0,0.235294,0.941176,0.0,0.0,5.826567,medium,narrative
5,oneshot,新しい言語を学ぶには、多くの文章を読むことが大切だ。,"あ,い,う,え,お",新たな体系を習得するには、多数の文を閲覧することが重要だ。,True,"あ,い,う,え",8,0.411765,0.9,0.0,0.0,0.458912,medium,narrative
