base_id,text,genre,source_id
0,彼がこういうことを言ったのだと思われる。,tatoeba,tatoeba:121021
1,木綿のミットをつければ赤ちゃんは自分の顔をひっかかなくなる。,tatoeba,tatoeba:80063
2,ビートルズの髪型はセンセーションを引き起こした。,tatoeba,tatoeba:197677
3,家にいるときはいろいろとやることが多くTVを見る暇もない。,tatoeba,tatoeba:187123
4,君は約束を守るべきだと彼女は続けていった。,tatoeba,tatoeba:176839
5,政治における宣伝活動の重要性を認識する。,tatoeba,tatoeba:143207
6,彼の行った発見の価値は、その死後になって初めて分かった。,tatoeba,tatoeba:117409
7,うちのネコは無愛想だが自分にだけはなついてる。,tatoeba,tatoeba:11024795
8,彼は一生懸命やっているからうまくいくだろう。,tatoeba,tatoeba:109938
9,友達の誕生日に、サプライズでメッセージカードを渡した。,tatoeba,tatoeba:13176121
10,あいつらが困ってるみたい。手伝ってくれない？,tatoeba,tatoeba:1336406
11,母の日にお母さんにカーネーションをあげた。,tatoeba,tatoeba:83118
12,僕の人生には何か欠けているものがあるような気がするんだ。,tatoeba,tatoeba:82196
13,彼はそこに行かなかった。私も行かなかった。,tatoeba,tatoeba:113242
14,現在は彼らが望むのは頭の上の屋根（家）だけである。,tatoeba,tatoeba:174886
15,救援隊が到着したとき彼はまだ生きていた。,tatoeba,tatoeba:182418
16,レストランからは公園全体を見渡すことができますよ。,tatoeba,tatoeba:9771113
17,娘は私の上衣の袖にすがりついて、私を行かせまいとした。,tatoeba,tatoeba:80831
18,もっとお金があったら、買えるんだけどね。,tatoeba,tatoeba:11563403
19,私たちがココにそのニュースを知らせると。彼女は１０分間くらい黙っていました。,tatoeba,tatoeba:167323
20,孤独だから、酒を飲んで寂しさをごまかしてるんだ。,tatoeba,tatoeba:11023030
21,彼はかわいい女の子に僕を紹介してくれた。,tatoeba,tatoeba:1219150
22,月曜までにすべてが整っていることが重要なのだ。,tatoeba,tatoeba:175606
23,下着は隠すものではなく見せるものである。,tatoeba,tatoeba:2766189
24,トンネルを抜けると、広大な海が目の前に広がった。,tatoeba,tatoeba:13146941
